
Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
reb0RN		 Imperator	 446	[8:129:9]	 27.06.2014	 25 Min.	
Blesur		 Probezeit	 460	[2:105:8]	 04.07.2014	 On	
Darkflame		 Probezeit	 496	[6:250:4]	 04.07.2014	 Off	
Bombertina		 Imperator	 498	[2:170:8]	 27.06.2014	 54 Min.	
blacklord999		 Imperator	 534	[2:20:10]	 27.06.2014	 1t	
ARMAGEDON		 Imperator	 555	[1:345:6]	 27.06.2014	 42 Min.	
Killsort		 Probezeit	 580	[1:82:12]	 02.07.2014	 53 Min.	
g4f		 Imperator	 610	[1:272:4]	 27.06.2014	 On	
Steveboo		 Probezeit	 622	[2:373:4]	 01.07.2014	 On	
Philanthrop		 Probezeit	 643	[1:363:4]	 03.07.2014	 Off	
smokingz		 Imperator	 677	[1:376:4]	 27.06.2014	 Off	
Wrong Destiny		 Imperator	 872	[1:50:6]	 28.06.2014	 39 Min.	
Starchild		 Imperator	 1023	[1:28:7]	 27.06.2014	 On	
KrueMelChen		 Imperator	 1207	[2:23:4]	 27.06.2014	 Off	
Zylon		 Probezeit	 1242	[3:113:4]	 02.07.2014	 Off	

W4R_MaChINE		 Gründer	 78	[1:116:4]	 27.06.2014	 On	
baal the dark		 Imperator	 89	[2:31:6]	 27.06.2014	 On	
Mursana		 Imperator	 100	[1:222:6]	 27.06.2014	 On	
SuaveTheDon		 -XO-	 121	[9:463:4]	 27.06.2014	 On	
pArmEsAnEXpErtE		 Imperator	 151	[1:421:9]	 27.06.2014	 Off	
trendsetter		 Probezeit	 175	[3:114:6]	 01.07.2014	 On	
dywk		 Imperator	 184	[8:130:12]	 27.06.2014	 On	
varus		 Imperator	 343	[3:250:8]	 27.06.2014	 22 Min.	
blindi		 Probezeit	 393	[1:363:6]	 03.07.2014	 Off	
Blesur		 Probezeit	 422	[2:105:8]	 04.07.2014	 On	
reb0RN		 Imperator	 456	[8:129:9]	 27.06.2014	 On	
ARMAGEDON		 Imperator	 538	[1:345:6]	 27.06.2014	 On	
blacklord999		 Imperator	 570	[2:20:10]	 27.06.2014	 1t	
Darkflame		 Probezeit	 571	[6:250:4]	 04.07.2014	 On	
Killsort		 Probezeit	 580	[1:82:12]	 02.07.2014	 On	
g4f		 Imperator	 586	[1:272:4]	 27.06.2014	 15 Min.	
